year,month,yyyymm,station_count,region_avg_wind_mps,source_file
1951,1,195101,0,,SURF_CLI_CHN_MUL_DAY-WIN-11002-195101.TXT
1951,2,195102,0,,SURF_CLI_CHN_MUL_DAY-WIN-11002-195102.TXT
1951,3,195103,0,,SURF_CLI_CHN_MUL_DAY-WIN-11002-195103.TXT
1951,4,195104,0,,SURF_CLI_CHN_MUL_DAY-WIN-11002-195104.TXT
1951,5,195105,0,,SURF_CLI_CHN_MUL_DAY-WIN-11002-195105.TXT
1951,6,195106,0,,SURF_CLI_CHN_MUL_DAY-WIN-11002-195106.TXT
1951,7,195107,0,,SURF_CLI_CHN_MUL_DAY-WIN-11002-195107.TXT
1951,8,195108,0,,SURF_CLI_CHN_MUL_DAY-WIN-11002-195108.TXT
1951,9,195109,0,,SURF_CLI_CHN_MUL_DAY-WIN-11002-195109.TXT
1951,10,195110,0,,SURF_CLI_CHN_MUL_DAY-WIN-11002-195110.TXT
1951,11,195111,0,,SURF_CLI_CHN_MUL_DAY-WIN-11002-195111.TXT
1951,12,195112,0,,SURF_CLI_CHN_MUL_DAY-WIN-11002-195112.TXT
1952,1,195201,0,,SURF_CLI_CHN_MUL_DAY-WIN-11002-195201.TXT
1952,2,195202,0,,SURF_CLI_CHN_MUL_DAY-WIN-11002-195202.TXT
1952,3,195203,0,,SURF_CLI_CHN_MUL_DAY-WIN-11002-195203.TXT
1952,4,195204,0,,SURF_CLI_CHN_MUL_DAY-WIN-11002-195204.TXT
1952,5,195205,0,,SURF_CLI_CHN_MUL_DAY-WIN-11002-195205.TXT
1952,6,195206,0,,SURF_CLI_CHN_MUL_DAY-WIN-11002-195206.TXT
1952,7,195207,0,,SURF_CLI_CHN_MUL_DAY-WIN-11002-195207.TXT
1952,8,195208,0,,SURF_CLI_CHN_MUL_DAY-WIN-11002-195208.TXT
1952,9,195209,0,,SURF_CLI_CHN_MUL_DAY-WIN-11002-195209.TXT
1952,10,195210,0,,SURF_CLI_CHN_MUL_DAY-WIN-11002-195210.TXT
1952,11,195211,0,,SURF_CLI_CHN_MUL_DAY-WIN-11002-195211.TXT
1952,12,195212,0,,SURF_CLI_CHN_MUL_DAY-WIN-11002-195212.TXT
1953,1,195301,0,,SURF_CLI_CHN_MUL_DAY-WIN-11002-195301.TXT
1953,2,195302,0,,SURF_CLI_CHN_MUL_DAY-WIN-11002-195302.TXT
1953,3,195303,0,,SURF_CLI_CHN_MUL_DAY-WIN-11002-195303.TXT
1953,4,195304,0,,SURF_CLI_CHN_MUL_DAY-WIN-11002-195304.TXT
1953,5,195305,0,,SURF_CLI_CHN_MUL_DAY-WIN-11002-195305.TXT
1953,6,195306,0,,SURF_CLI_CHN_MUL_DAY-WIN-11002-195306.TXT
1953,7,195307,0,,SURF_CLI_CHN_MUL_DAY-WIN-11002-195307.TXT
1953,8,195308,0,,SURF_CLI_CHN_MUL_DAY-WIN-11002-195308.TXT
1953,9,195309,0,,SURF_CLI_CHN_MUL_DAY-WIN-11002-195309.TXT
1953,10,195310,0,,SURF_CLI_CHN_MUL_DAY-WIN-11002-195310.TXT
1953,11,195311,0,,SURF_CLI_CHN_MUL_DAY-WIN-11002-195311.TXT
1953,12,195312,0,,SURF_CLI_CHN_MUL_DAY-WIN-11002-195312.TXT
1954,1,195401,0,,SURF_CLI_CHN_MUL_DAY-WIN-11002-195401.TXT
1954,2,195402,0,,SURF_CLI_CHN_MUL_DAY-WIN-11002-195402.TXT
1954,3,195403,0,,SURF_CLI_CHN_MUL_DAY-WIN-11002-195403.TXT
1954,4,195404,0,,SURF_CLI_CHN_MUL_DAY-WIN-11002-195404.TXT
1954,5,195405,0,,SURF_CLI_CHN_MUL_DAY-WIN-11002-195405.TXT
1954,6,195406,0,,SURF_CLI_CHN_MUL_DAY-WIN-11002-195406.TXT
1954,7,195407,0,,SURF_CLI_CHN_MUL_DAY-WIN-11002-195407.TXT
1954,8,195408,0,,SURF_CLI_CHN_MUL_DAY-WIN-11002-195408.TXT
1954,9,195409,0,,SURF_CLI_CHN_MUL_DAY-WIN-11002-195409.TXT
1954,10,195410,0,,SURF_CLI_CHN_MUL_DAY-WIN-11002-195410.TXT
1954,11,195411,0,,SURF_CLI_CHN_MUL_DAY-WIN-11002-195411.TXT
1954,12,195412,0,,SURF_CLI_CHN_MUL_DAY-WIN-11002-195412.TXT
1955,1,195501,1,3.481,SURF_CLI_CHN_MUL_DAY-WIN-11002-195501.TXT
1955,2,195502,1,4.907,SURF_CLI_CHN_MUL_DAY-WIN-11002-195502.TXT
1955,3,195503,1,2.465,SURF_CLI_CHN_MUL_DAY-WIN-11002-195503.TXT
1955,4,195504,1,3.707,SURF_CLI_CHN_MUL_DAY-WIN-11002-195504.TXT
1955,5,195505,1,3.777,SURF_CLI_CHN_MUL_DAY-WIN-11002-195505.TXT
1955,6,195506,1,2.723,SURF_CLI_CHN_MUL_DAY-WIN-11002-195506.TXT
1955,7,195507,1,2.616,SURF_CLI_CHN_MUL_DAY-WIN-11002-195507.TXT
1955,8,195508,1,2.694,SURF_CLI_CHN_MUL_DAY-WIN-11002-195508.TXT
1955,9,195509,1,3.19,SURF_CLI_CHN_MUL_DAY-WIN-11002-195509.TXT
1955,10,195510,1,3.335,SURF_CLI_CHN_MUL_DAY-WIN-11002-195510.TXT
1955,11,195511,1,2.86,SURF_CLI_CHN_MUL_DAY-WIN-11002-195511.TXT
1955,12,195512,1,2.974,SURF_CLI_CHN_MUL_DAY-WIN-11002-195512.TXT
1956,1,195601,1,3.423,SURF_CLI_CHN_MUL_DAY-WIN-11002-195601.TXT
1956,2,195602,1,3.897,SURF_CLI_CHN_MUL_DAY-WIN-11002-195602.TXT
1956,3,195603,1,3.387,SURF_CLI_CHN_MUL_DAY-WIN-11002-195603.TXT
1956,4,195604,1,3.613,SURF_CLI_CHN_MUL_DAY-WIN-11002-195604.TXT
1956,5,195605,1,3.306,SURF_CLI_CHN_MUL_DAY-WIN-11002-195605.TXT
1956,6,195606,1,3.69,SURF_CLI_CHN_MUL_DAY-WIN-11002-195606.TXT
1956,7,195607,1,3.368,SURF_CLI_CHN_MUL_DAY-WIN-11002-195607.TXT
1956,8,195608,1,3.439,SURF_CLI_CHN_MUL_DAY-WIN-11002-195608.TXT
1956,9,195609,1,2.7,SURF_CLI_CHN_MUL_DAY-WIN-11002-195609.TXT
1956,10,195610,1,3.319,SURF_CLI_CHN_MUL_DAY-WIN-11002-195610.TXT
1956,11,195611,0,,SURF_CLI_CHN_MUL_DAY-WIN-11002-195611.TXT
1956,12,195612,1,1.761,SURF_CLI_CHN_MUL_DAY-WIN-11002-195612.TXT
1957,1,195701,1,1.9,SURF_CLI_CHN_MUL_DAY-WIN-11002-195701.TXT
1957,2,195702,1,2.389,SURF_CLI_CHN_MUL_DAY-WIN-11002-195702.TXT
1957,3,195703,1,2.194,SURF_CLI_CHN_MUL_DAY-WIN-11002-195703.TXT
1957,4,195704,1,2.073,SURF_CLI_CHN_MUL_DAY-WIN-11002-195704.TXT
1957,5,195705,1,1.974,SURF_CLI_CHN_MUL_DAY-WIN-11002-195705.TXT
1957,6,195706,0,,SURF_CLI_CHN_MUL_DAY-WIN-11002-195706.TXT
1957,7,195707,0,,SURF_CLI_CHN_MUL_DAY-WIN-11002-195707.TXT
1957,8,195708,0,,SURF_CLI_CHN_MUL_DAY-WIN-11002-195708.TXT
1957,9,195709,0,,SURF_CLI_CHN_MUL_DAY-WIN-11002-195709.TXT
1957,10,195710,0,,SURF_CLI_CHN_MUL_DAY-WIN-11002-195710.TXT
1957,11,195711,0,,SURF_CLI_CHN_MUL_DAY-WIN-11002-195711.TXT
1957,12,195712,0,,SURF_CLI_CHN_MUL_DAY-WIN-11002-195712.TXT
1958,1,195801,0,,SURF_CLI_CHN_MUL_DAY-WIN-11002-195801.TXT
1958,2,195802,0,,SURF_CLI_CHN_MUL_DAY-WIN-11002-195802.TXT
1958,3,195803,0,,SURF_CLI_CHN_MUL_DAY-WIN-11002-195803.TXT
1958,4,195804,0,,SURF_CLI_CHN_MUL_DAY-WIN-11002-195804.TXT
1958,5,195805,0,,SURF_CLI_CHN_MUL_DAY-WIN-11002-195805.TXT
1958,6,195806,0,,SURF_CLI_CHN_MUL_DAY-WIN-11002-195806.TXT
1958,7,195807,0,,SURF_CLI_CHN_MUL_DAY-WIN-11002-195807.TXT
1958,8,195808,0,,SURF_CLI_CHN_MUL_DAY-WIN-11002-195808.TXT
1958,9,195809,0,,SURF_CLI_CHN_MUL_DAY-WIN-11002-195809.TXT
1958,10,195810,0,,SURF_CLI_CHN_MUL_DAY-WIN-11002-195810.TXT
1958,11,195811,0,,SURF_CLI_CHN_MUL_DAY-WIN-11002-195811.TXT
1958,12,195812,0,,SURF_CLI_CHN_MUL_DAY-WIN-11002-195812.TXT
1959,1,195901,0,,SURF_CLI_CHN_MUL_DAY-WIN-11002-195901.TXT
1959,2,195902,0,,SURF_CLI_CHN_MUL_DAY-WIN-11002-195902.TXT
1959,3,195903,0,,SURF_CLI_CHN_MUL_DAY-WIN-11002-195903.TXT
1959,4,195904,0,,SURF_CLI_CHN_MUL_DAY-WIN-11002-195904.TXT
1959,5,195905,0,,SURF_CLI_CHN_MUL_DAY-WIN-11002-195905.TXT
1959,6,195906,0,,SURF_CLI_CHN_MUL_DAY-WIN-11002-195906.TXT
1959,7,195907,0,,SURF_CLI_CHN_MUL_DAY-WIN-11002-195907.TXT
1959,8,195908,0,,SURF_CLI_CHN_MUL_DAY-WIN-11002-195908.TXT
1959,9,195909,0,,SURF_CLI_CHN_MUL_DAY-WIN-11002-195909.TXT
1959,10,195910,0,,SURF_CLI_CHN_MUL_DAY-WIN-11002-195910.TXT
1959,11,195911,0,,SURF_CLI_CHN_MUL_DAY-WIN-11002-195911.TXT
1959,12,195912,0,,SURF_CLI_CHN_MUL_DAY-WIN-11002-195912.TXT
1960,1,196001,0,,SURF_CLI_CHN_MUL_DAY-WIN-11002-196001.TXT
1960,2,196002,0,,SURF_CLI_CHN_MUL_DAY-WIN-11002-196002.TXT
1960,3,196003,0,,SURF_CLI_CHN_MUL_DAY-WIN-11002-196003.TXT
1960,4,196004,0,,SURF_CLI_CHN_MUL_DAY-WIN-11002-196004.TXT
1960,5,196005,0,,SURF_CLI_CHN_MUL_DAY-WIN-11002-196005.TXT
1960,6,196006,0,,SURF_CLI_CHN_MUL_DAY-WIN-11002-196006.TXT
1960,7,196007,0,,SURF_CLI_CHN_MUL_DAY-WIN-11002-196007.TXT
1960,8,196008,0,,SURF_CLI_CHN_MUL_DAY-WIN-11002-196008.TXT
1960,9,196009,0,,SURF_CLI_CHN_MUL_DAY-WIN-11002-196009.TXT
1960,10,196010,0,,SURF_CLI_CHN_MUL_DAY-WIN-11002-196010.TXT
1960,11,196011,0,,SURF_CLI_CHN_MUL_DAY-WIN-11002-196011.TXT
1960,12,196012,0,,SURF_CLI_CHN_MUL_DAY-WIN-11002-196012.TXT
1961,1,196101,1,1.571,SURF_CLI_CHN_MUL_DAY-WIN-11002-196101.TXT
1961,2,196102,1,2.55,SURF_CLI_CHN_MUL_DAY-WIN-11002-196102.TXT
1961,3,196103,1,2.226,SURF_CLI_CHN_MUL_DAY-WIN-11002-196103.TXT
1961,4,196104,1,2.293,SURF_CLI_CHN_MUL_DAY-WIN-11002-196104.TXT
1961,5,196105,1,1.474,SURF_CLI_CHN_MUL_DAY-WIN-11002-196105.TXT
1961,6,196106,1,1.62,SURF_CLI_CHN_MUL_DAY-WIN-11002-196106.TXT
1961,7,196107,1,1.642,SURF_CLI_CHN_MUL_DAY-WIN-11002-196107.TXT
1961,8,196108,1,1.429,SURF_CLI_CHN_MUL_DAY-WIN-11002-196108.TXT
1961,9,196109,1,1.287,SURF_CLI_CHN_MUL_DAY-WIN-11002-196109.TXT
1961,10,196110,1,1.7,SURF_CLI_CHN_MUL_DAY-WIN-11002-196110.TXT
1961,11,196111,1,1.54,SURF_CLI_CHN_MUL_DAY-WIN-11002-196111.TXT
1961,12,196112,1,1.329,SURF_CLI_CHN_MUL_DAY-WIN-11002-196112.TXT
1962,1,196201,1,1.432,SURF_CLI_CHN_MUL_DAY-WIN-11002-196201.TXT
1962,2,196202,1,1.764,SURF_CLI_CHN_MUL_DAY-WIN-11002-196202.TXT
1962,3,196203,1,1.816,SURF_CLI_CHN_MUL_DAY-WIN-11002-196203.TXT
1962,4,196204,1,1.9,SURF_CLI_CHN_MUL_DAY-WIN-11002-196204.TXT
1962,5,196205,1,1.671,SURF_CLI_CHN_MUL_DAY-WIN-11002-196205.TXT
